,Å¤¾Ø,×ªËÙ
0,-200.0,0.0
1,200.0,666.6666666666666
2,0.0,1333.3333333333333
3,400.0,222.2222222222222
4,-100.0,888.8888888888888
5,300.0,1555.5555555555554
6,100.0,444.4444444444444
7,500.0,1111.111111111111
8,-150.0,1777.7777777777776
9,250.0,74.07407407407408
10,50.0,740.7407407407406
11,450.0,1407.4074074074074
12,-50.0,296.2962962962963
13,350.0,962.9629629629629
14,150.0,1629.6296296296293
15,550.0,518.5185185185185
16,-175.0,1185.1851851851852
17,225.0,1851.8518518518517
18,25.0,148.14814814814815
19,425.0,814.8148148148148
